FrameCount,Breath Period (sec),Walking Pace (Hz)
512,2.0,1.8632813
513,2.0,1.8654971
514,2.0,1.8657588
515,2.0,1.8660194
516,2.0,1.8643411
517,2.0,1.8646035
518,3.0,1.8648648
519,2.0,1.8651253
520,2.0,1.8615384
521,2.0,1.8579655
522,2.0,1.8582375
523,3.0,1.8585086
524,2.0,1.8587786
525,2.0,1.8590477
526,2.0,1.8593156
527,2.0,1.8595825
528,3.0,1.8617424
529,2.0,1.8620038
530,2.0,1.8622642
531,2.0,1.8625236
532,2.0,1.862782
533,2.0,1.8630394
534,2.0,1.8632959
535,2.0,1.8635514
536,3.0,1.863806
537,2.0,1.8640596
538,2.0,1.8643123
539,2.0,1.8645641
540,2.0,1.8648148
541,2.0,1.8650647
542,2.0,1.8653136
543,2.0,1.8674033
544,2.0,1.867647
545,2.0,1.8678899
546,2.0,1.8681319
547,2.0,1.8683729
548,2.0,1.8686131
549,2.0,1.8688525
550,3.0,1.8690909
551,2.0,1.8693285
552,2.0,1.8695652
553,2.0,1.869801
554,2.0,1.8700361
555,3.0,1.8702703
556,3.0,1.8705035
557,4.0,1.8707361
558,2.0,1.8727598
559,2.0,1.8729875
560,3.0,1.8732142
561,2.0,1.8734403
562,2.0,1.8736655
563,2.0,1.8738899
564,2.0,1.8741134
565,2.0,1.8743362
566,2.0,1.8745583
567,2.0,1.8747796
568,2.0,1.8767606
569,3.0,1.8769772
570,2.0,1.877193
571,2.0,1.877408
572,2.0,1.8776224
573,2.0,1.877836
574,2.0,1.8780488
575,2.0,1.8782609
576,2.0,1.8784722
577,2.0,1.8786829
578,2.0,1.8788928
579,2.0,1.8791019
580,2.0,1.8810345
581,3.0,1.8812393
582,2.0,1.8814433
583,2.0,1.8816466
584,2.0,1.8818493
585,2.0,1.8820512
586,2.0,1.8822526
587,2.0,1.8824532
588,8.0,1.8826531
589,2.0,1.8828523
590,2.0,1.8830508
591,2.0,1.8832487
592,3.0,1.883446
593,2.0,1.8836426
594,2.0,1.8855219
595,2.0,1.8840336
596,2.0,1.885906
597,3.0,1.8860972
598,3.0,1.8862876
599,4.0,1.8864775
600,4.0,1.8866667
601,3.0,1.8868552
602,3.0,1.8870432
603,3.0,1.8872305
604,3.0,1.8874172
605,3.0,1.8876033
606,3.0,1.8877888
607,3.0,1.8879737
608,3.0,1.8881578
609,16.0,1.8883415
610,2.0,1.8885245
611,2.0,1.888707
612,2.0,1.8888888
613,2.0,1.8890702
614,3.0,1.8892508
615,3.0,1.8894309
616,4.0,1.8896104
617,2.0,1.8897893
618,2.0,1.8899677
619,2.0,1.8901454
620,2.0,1.8887097
621,2.0,1.8888888
622,3.0,1.8874598
623,2.0,1.8876405
624,2.0,1.8846154
625,4.0,1.8816
